"BAY-71DA5201600094"	"BAY"
"BAY-FR14101201500006"	"BAY"
"BAY-FR14SXW201400027"	"BAY"
"BAY-FR14VAN201600011"	"BAY"
"BAY-FR14XAZ201200030"	"BAY"
"BAY-FR46YJD201503732"	"BAY"
"BAY-FR50DN5201100030"	"BAY"
"BAY-FR61GWR201400921"	"BAY"
"BAY-FR72HAZ201400101"	"BAY"
"BAY-FR85L4S201505072"	"BAY"
"CMJR-17MAG005073"	"CMJR"
"CMJR-17MAG005434"	"CMJR"
"CMJR-17MAG005451"	"CMJR"
"CMJR-17MAG005474"	"CMJR"
"CMJR-17MAG005533"	"CMJR"
"CMJR-17MAG005551"	"CMJR"
"CMJR-17MAG005579"	"CMJR"
"CMJR-17MAG005647"	"CMJR"
"CMJR-17MAG005677"	"CMJR"
"CMJR-17MAG005742"	"CMJR"
"CMJR-17MAG005775"	"CMJR"
"CMJR-17MAG005777"	"CMJR"
"CMJR-FR17MAG200005197"	"CMJR"
"CMJR-FR17MAG200005350"	"CMJR"
"CMJR-FR17MAG200005358"	"CMJR"
"CMJR-FR17MAG200005629"	"CMJR"
"CMJR-FR17MAG200005655"	"CMJR"
"CMJR-FR17MAG200005745"	"CMJR"
"CMJR-FR17MAG200005774"	"CMJR"
"CMJR-FR17MAG200005856"	"CMJR"
"CR-FR971DU200903475"	"CR"
"CR-FR971DU200903481"	"CR"
"CR-FR971DU200903515"	"CR"
"CR-FR971DU200903516"	"CR"
"CR-FR971DU201003590"	"CR"
"CR-FR97DU201331697"	"CR"
"CRxLW-FR17MAG201313975"	"CRxLW"
"LIM-FR16QYQ201600171"	"LIM"
"LIM-FR19AZJ201500142"	"LIM"
"LIM-FR19DWK201300251"	"LIM"
"LIM-FR19LTJ201400414"	"LIM"
"LIM-FR87BF2201600017"	"LIM"
"LIM-FR87BF2201600056"	"LIM"
"LIM-FR87EH1201400036"	"LIM"
"LIM-FR87EH1201600114"	"LIM"
"LIM-FR87GR1201600799"	"LIM"
"LIM-FR87JH1201500016"	"LIM"
"LIM-FR87LCN201300263"	"LIM"
"LIM-FR87LCN201500603"	"LIM"
"LIM-FR87LEC201500600"	"LIM"
"LIM-FR87LEC201600830"	"LIM"
"LIM-FR87LLV201501939"	"LIM"
"LR-FR22RK9200703663"	"LR"
"LR-FR22RK9200708080"	"LR"
"LR-FR22RK9200804099"	"LR"
"LR-FR29THC200900431"	"LR"
"LR-FR35MDU201112756"	"LR"
"LR-FR35MDU201317581"	"LR"
"LR-FR40AST200603183"	"LR"
"LR-FR56J5F200700951"	"LR"
"LR-FR56J5F201101857"	"LR"
"LR-FR56J5F201103369"	"LR"
"LR-FR72BA3201101243"	"LR"
"LR-FR79SKV200600882"	"LR"
"LR-FR85LJ7200600630"	"LR"
"LR-FR86CHA201303363"	"LR"
"LW-17M30880607"	"LW"
"LW-17M30880608"	"LW"
"LW-17M30900789"	"LW"
"LW-17M30900839"	"LW"
"LW-17M30900848"	"LW"
"LW-17M30900849"	"LW"
"LW-FR17MAG200905064"	"LW"
"LW-FR17MAG200905119"	"LW"
"LW-FR17MAG2009051912"	"LW"
"LW-FR17MAG200905223"	"LW"
"MS-17M20890690"	"MS"
"MS-17M20890738"	"MS"
"MS-17M20890755"	"MS"
"MS-17M20890761"	"MS"
"MS-17M20890768"	"MS"
"MS-17M20890769"	"MS"
"MS-FR17MAG200901131"	"MS"
"MS-FR17MAG200904198"	"MS"
"MS-FR17MAG200905540"	"MS"
"MS-FR17MAG2009059102"	"MS"
"MSxLW-FR17MAG201001173"	"MSxLW"
"MSxLW-FR17MAG201001184"	"MSxLW"
"MSxLW-FR17MAG201001309"	"MSxLW"
"MSxLW-FR17MAG201001318"	"MSxLW"
"MSxLW-FR17MAG201003217"	"MSxLW"
"MSxLW-FR17MAG201005743"	"MSxLW"
"MSxLW-FR17MAG201005748"	"MSxLW"
"MSxLW-FR17MAG201005771"	"MSxLW"
"MSxLW-FR17MAG201005773"	"MSxLW"
"MSxLW-FR18GAL200900504"	"MSxLW"
"PBO-FR2265A201600006"	"PBO"
"PBO-FR2265A201620002"	"PBO"
"PBO-FR22M96201400041"	"PBO"
"PBO-FR22M96201500004"	"PBO"
"PBO-FR22M96201600040"	"PBO"
"PBO-FR29TU9201300038"	"PBO"
"PBO-FR352SR201500002"	"PBO"
"PBO-FR352UV201300837"	"PBO"
"PBO-FR352UV201500027"	"PBO"
"PBO-FR44GYS201600093"	"PBO"
"PBO-FR44LVS201300184"	"PBO"
"PBO-FR44LVS201500007"	"PBO"
"PBO-FR44NYS201600006"	"PBO"
"PBO-FR594M4201500001"	"PBO"
"PBO-FR72CEQ201600008"	"PBO"
"PI-FR08NUF200707034"	"PI"
"PI-FR08NUF201000246"	"PI"
"PI-FR08NUF201001090"	"PI"
"PI-FR22JFZ200903067"	"PI"
"PI-FR22JFZ201100146"	"PI"
"PI-FR22JFZ201101815"	"PI"
"PI-FR22KRW201001145"	"PI"
"PI-FR22KRW201100226"	"PI"
"PI-FR22KRW201100762"	"PI"
"PI-FR29GSR201006132"	"PI"
"PI-FR44DER201004081"	"PI"
"PI-FR50GP4201001988"	"PI"
"PI-FR50GP4201002723"	"PI"
"PI-FR50GP4201002853"	"PI"
"PI-FR53FQ5201000403"	"PI"
"PI-FR56DA9201001947"	"PI"
"PI-FR56DA9201005935"	"PI"
"PI-FR56DA9201100634"	"PI"
"PI-FR62ND6201003090"	"PI"
"PI-FR62ND6201100010"	"PI"
"UCM-844silv"	"UCM"
"UCM-845silv"	"UCM"
"UCM-846silv"	"UCM"
"UCM-847silv"	"UCM"
"UCM-848silv"	"UCM"
"UCM-849silv"	"UCM"
"UCM-850silv"	"UCM"
"UCM-851silv"	"UCM"
"UCM-852silv"	"UCM"
"UCM-854silv"	"UCM"
"UCM-855silv"	"UCM"
"UCM-856silv"	"UCM"
"UCM-857silv"	"UCM"
"UCM-858silv"	"UCM"
"UCM-859silv"	"UCM"
"UCM-860silv"	"UCM"
"UCM-867silv"	"UCM"
"UCM-868silv"	"UCM"
"UCM-869silv"	"UCM"
"UCM-870silv"	"UCM"
"WU-02A69"	"WU"
"WU-02A75"	"WU"
"WU-02A97"	"WU"
"WU-0374B"	"WU"
"WU-03A08"	"WU"
"WU-0751B"	"WU"
"WU-10V18"	"WU"
"WU-11V60"	"WU"
"WU-12V03"	"WU"
"WU-1PGU0"	"WU"
"WU-1RGW9"	"WU"
"WU-2077EDGB"	"WU"
"WU-4367DDVB"	"WU"
"WU-4785DDBG"	"WU"
"WU-528-0774075-Y0118"	"WU"
"WU-528-1685534-Y0112"	"WU"
"WU-528-1685534-Y0127"	"WU"
"WU-528-1685534-Y0133"	"WU"
"WU-528-1714797-S1851"	"WU"
"WU-6026B"	"WU"
"WU-6125AMGB"	"WU"
"WU-6479DDVB"	"WU"
"WU-65BAD"	"WU"
"WU-6897BDVB"	"WU"
"WU-6992ADDB"	"WU"
"WU-7794DDGB"	"WU"
"WU-9430BDVB"	"WU"
"WU-AWT92"	"WU"
"WU-BPR54"	"WU"
"WU-BYA59"	"WU"
"WU-CP6164"	"WU"
"WU-CZ3M8"	"WU"
"WU-DY9W1"	"WU"
"WU-EZ9F3"	"WU"
"WU-MFV09"	"WU"
"WU-NDP19"	"WU"
"WU-PV1K0"	"WU"
"WU-RU3G0"	"WU"
"WU-SD9C7"	"WU"
"WU-TCQ86"	"WU"
"WU-TE6K6"	"WU"
"WU-TM6X2"	"WU"
